Character,Name,Category
⍹,Apl Functional Symbol Omega Underbar,Miscellaneous Technical (U+2300 to U+23FF)
⍺,Apl Functional Symbol Alpha,Miscellaneous Technical (U+2300 to U+23FF)
⍻,Not Check Mark,Miscellaneous Technical (U+2300 to U+23FF)
⍼,Right Angle With Downwards Zigzag Arrow,Miscellaneous Technical (U+2300 to U+23FF)
⍽,Shouldered Open Box,Miscellaneous Technical (U+2300 to U+23FF)
⍾,Bell Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⍿,Vertical Line With Middle Dot,Miscellaneous Technical (U+2300 to U+23FF)
⎀,Insertion Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎁,Continuous Underline Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎂,Discontinuous Underline Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎃,Emphasis Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎄,Composition Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎅,White Square With Centre Vertical Line,Miscellaneous Technical (U+2300 to U+23FF)
⎆,Enter Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎇,Alternative Key Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎈,Helm Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎉,Circled Horizontal Bar With Notch,Miscellaneous Technical (U+2300 to U+23FF)
⎊,Circled Triangle Down,Miscellaneous Technical (U+2300 to U+23FF)
⎋,Broken Circle With Northwest Arrow,Miscellaneous Technical (U+2300 to U+23FF)
⎌,Undo Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎍,Monostable Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎎,Hysteresis Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎏,Open-Circuit-Output H-Type Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎐,Open-Circuit-Output L-Type Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎑,Passive-Pull-Down-Output Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎒,Passive-Pull-Up-Output Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎓,Direct Current Symbol Form Two,Miscellaneous Technical (U+2300 to U+23FF)
⎔,Software-Function Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎕,Apl Functional Symbol Quad,Miscellaneous Technical (U+2300 to U+23FF)
⎖,Decimal Separator Key Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎗,Previous Page,Miscellaneous Technical (U+2300 to U+23FF)
⎘,Next Page,Miscellaneous Technical (U+2300 to U+23FF)
⎙,Print Screen Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎚,Clear Screen Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⎛,Left Parenthesis Upper Hook,Miscellaneous Technical (U+2300 to U+23FF)
⎜,Left Parenthesis Extension,Miscellaneous Technical (U+2300 to U+23FF)
⎝,Left Parenthesis Lower Hook,Miscellaneous Technical (U+2300 to U+23FF)
⎞,Right Parenthesis Upper Hook,Miscellaneous Technical (U+2300 to U+23FF)
⎟,Right Parenthesis Extension,Miscellaneous Technical (U+2300 to U+23FF)
⎠,Right Parenthesis Lower Hook,Miscellaneous Technical (U+2300 to U+23FF)
⎡,Left Square Bracket Upper Corner,Miscellaneous Technical (U+2300 to U+23FF)
⎢,Left Square Bracket Extension,Miscellaneous Technical (U+2300 to U+23FF)
⎣,Left Square Bracket Lower Corner,Miscellaneous Technical (U+2300 to U+23FF)
⎤,Right Square Bracket Upper Corner,Miscellaneous Technical (U+2300 to U+23FF)
⎥,Right Square Bracket Extension,Miscellaneous Technical (U+2300 to U+23FF)
⎦,Right Square Bracket Lower Corner,Miscellaneous Technical (U+2300 to U+23FF)
⎧,Left Curly Bracket Upper Hook,Miscellaneous Technical (U+2300 to U+23FF)
⎨,Left Curly Bracket Middle Piece,Miscellaneous Technical (U+2300 to U+23FF)
⎩,Left Curly Bracket Lower Hook,Miscellaneous Technical (U+2300 to U+23FF)
⎪,Curly Bracket Extension,Miscellaneous Technical (U+2300 to U+23FF)
⎫,Right Curly Bracket Upper Hook,Miscellaneous Technical (U+2300 to U+23FF)
⎬,Right Curly Bracket Middle Piece,Miscellaneous Technical (U+2300 to U+23FF)
⎭,Right Curly Bracket Lower Hook,Miscellaneous Technical (U+2300 to U+23FF)
⎮,Integral Extension,Miscellaneous Technical (U+2300 to U+23FF)
⎯,Horizontal Line Extension,Miscellaneous Technical (U+2300 to U+23FF)
⎰,Upper Left Or Lower Right Curly Bracket Section,Miscellaneous Technical (U+2300 to U+23FF)
⎱,Upper Right Or Lower Left Curly Bracket Section,Miscellaneous Technical (U+2300 to U+23FF)
⎲,Summation Top,Miscellaneous Technical (U+2300 to U+23FF)
⎳,Summation Bottom,Miscellaneous Technical (U+2300 to U+23FF)
⎴,Top Square Bracket,Miscellaneous Technical (U+2300 to U+23FF)
⎵,Bottom Square Bracket,Miscellaneous Technical (U+2300 to U+23FF)
⎶,Bottom Square Bracket Over Top Square Bracket,Miscellaneous Technical (U+2300 to U+23FF)
⎷,Radical Symbol Bottom,Miscellaneous Technical (U+2300 to U+23FF)
⎸,Left Vertical Box Line,Miscellaneous Technical (U+2300 to U+23FF)
⎹,Right Vertical Box Line,Miscellaneous Technical (U+2300 to U+23FF)
⎺,Horizontal Scan Line-1,Miscellaneous Technical (U+2300 to U+23FF)
⎻,Horizontal Scan Line-3,Miscellaneous Technical (U+2300 to U+23FF)
⎼,Horizontal Scan Line-7,Miscellaneous Technical (U+2300 to U+23FF)
⎽,Horizontal Scan Line-9,Miscellaneous Technical (U+2300 to U+23FF)
⎾,Dentistry Symbol Light Vertical And Top Right,Miscellaneous Technical (U+2300 to U+23FF)
⎿,Dentistry Symbol Light Vertical And Bottom Right,Miscellaneous Technical (U+2300 to U+23FF)
⏀,Dentistry Symbol Light Vertical With Circle,Miscellaneous Technical (U+2300 to U+23FF)
⏁,Dentistry Symbol Light Down And Horizontal With Circle,Miscellaneous Technical (U+2300 to U+23FF)
⏂,Dentistry Symbol Light Up And Horizontal With Circle,Miscellaneous Technical (U+2300 to U+23FF)
⏃,Dentistry Symbol Light Vertical With Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏄,Dentistry Symbol Light Down And Horizontal With Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏅,Dentistry Symbol Light Up And Horizontal With Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏆,Dentistry Symbol Light Vertical And Wave,Miscellaneous Technical (U+2300 to U+23FF)
⏇,Dentistry Symbol Light Down And Horizontal With Wave,Miscellaneous Technical (U+2300 to U+23FF)
⏈,Dentistry Symbol Light Up And Horizontal With Wave,Miscellaneous Technical (U+2300 to U+23FF)
⏉,Dentistry Symbol Light Down And Horizontal,Miscellaneous Technical (U+2300 to U+23FF)
⏊,Dentistry Symbol Light Up And Horizontal,Miscellaneous Technical (U+2300 to U+23FF)
⏋,Dentistry Symbol Light Vertical And Top Left,Miscellaneous Technical (U+2300 to U+23FF)
⏌,Dentistry Symbol Light Vertical And Bottom Left,Miscellaneous Technical (U+2300 to U+23FF)
⏍,Square Foot,Miscellaneous Technical (U+2300 to U+23FF)
⏎,Return Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⏏,Eject Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⏐,Vertical Line Extension,Miscellaneous Technical (U+2300 to U+23FF)
⏑,Metrical Breve,Miscellaneous Technical (U+2300 to U+23FF)
⏒,Metrical Long Over Short,Miscellaneous Technical (U+2300 to U+23FF)
⏓,Metrical Short Over Long,Miscellaneous Technical (U+2300 to U+23FF)
⏔,Metrical Long Over Two Shorts,Miscellaneous Technical (U+2300 to U+23FF)
⏕,Metrical Two Shorts Over Long,Miscellaneous Technical (U+2300 to U+23FF)
⏖,Metrical Two Shorts Joined,Miscellaneous Technical (U+2300 to U+23FF)
⏗,Metrical Triseme,Miscellaneous Technical (U+2300 to U+23FF)
⏘,Metrical Tetraseme,Miscellaneous Technical (U+2300 to U+23FF)
⏙,Metrical Pentaseme,Miscellaneous Technical (U+2300 to U+23FF)
⏚,Earth Ground,Miscellaneous Technical (U+2300 to U+23FF)
⏛,Fuse,Miscellaneous Technical (U+2300 to U+23FF)
⏜,Top Parenthesis,Miscellaneous Technical (U+2300 to U+23FF)
⏝,Bottom Parenthesis,Miscellaneous Technical (U+2300 to U+23FF)
⏞,Top Curly Bracket,Miscellaneous Technical (U+2300 to U+23FF)
⏟,Bottom Curly Bracket,Miscellaneous Technical (U+2300 to U+23FF)
⏠,Top Tortoise Shell Bracket,Miscellaneous Technical (U+2300 to U+23FF)
⏡,Bottom Tortoise Shell Bracket,Miscellaneous Technical (U+2300 to U+23FF)
⏢,White Trapezium,Miscellaneous Technical (U+2300 to U+23FF)
⏣,Benzene Ring With Circle,Miscellaneous Technical (U+2300 to U+23FF)
⏤,Straightness,Miscellaneous Technical (U+2300 to U+23FF)
⏥,Flatness,Miscellaneous Technical (U+2300 to U+23FF)
⏦,Ac Current,Miscellaneous Technical (U+2300 to U+23FF)
⏧,Electrical Intersection,Miscellaneous Technical (U+2300 to U+23FF)
⏨,Decimal Exponent Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⏩,Black Right-Pointing Double Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏪,Black Left-Pointing Double Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏫,Black Up-Pointing Double Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏬,Black Down-Pointing Double Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏭,Black Right-Pointing Double Triangle With Vertical Bar,Miscellaneous Technical (U+2300 to U+23FF)
⏮,Black Left-Pointing Double Triangle With Vertical Bar,Miscellaneous Technical (U+2300 to U+23FF)
⏯,Black Right-Pointing Triangle With Double Vertical Bar,Miscellaneous Technical (U+2300 to U+23FF)
⏰,Alarm Clock,Miscellaneous Technical (U+2300 to U+23FF)
⏱,Stopwatch,Miscellaneous Technical (U+2300 to U+23FF)
⏲,Timer Clock,Miscellaneous Technical (U+2300 to U+23FF)
⏳,Hourglass With Flowing Sand,Miscellaneous Technical (U+2300 to U+23FF)
⏴,Black Medium Left-Pointing Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏵,Black Medium Right-Pointing Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏶,Black Medium Up-Pointing Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏷,Black Medium Down-Pointing Triangle,Miscellaneous Technical (U+2300 to U+23FF)
⏸,Double Vertical Bar,Miscellaneous Technical (U+2300 to U+23FF)
⏹,Black Square For Stop,Miscellaneous Technical (U+2300 to U+23FF)
⏺,Black Circle For Record,Miscellaneous Technical (U+2300 to U+23FF)
⏻,Power Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⏼,Power On-Off Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⏽,Power On Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⏾,Power Sleep Symbol,Miscellaneous Technical (U+2300 to U+23FF)
⏿,Observer Eye Symbol,Miscellaneous Technical (U+2300 to U+23FF)
␀,Symbol For Null,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␁,Symbol For Start Of Heading,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␂,Symbol For Start Of Text,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␃,Symbol For End Of Text,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␄,Symbol For End Of Transmission,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␅,Symbol For Enquiry,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␆,Symbol For Acknowledge,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␇,Symbol For Bell,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␈,Symbol For Backspace,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␉,Symbol For Horizontal Tabulation,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␊,Symbol For Line Feed,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␋,Symbol For Vertical Tabulation,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␌,Symbol For Form Feed,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␍,Symbol For Carriage Return,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␎,Symbol For Shift Out,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␏,Symbol For Shift In,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␐,Symbol For Data Link Escape,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␑,Symbol For Device Control One,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␒,Symbol For Device Control Two,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␓,Symbol For Device Control Three,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␔,Symbol For Device Control Four,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␕,Symbol For Negative Acknowledge,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␖,Symbol For Synchronous Idle,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␗,Symbol For End Of Transmission Block,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␘,Symbol For Cancel,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␙,Symbol For End Of Medium,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␚,Symbol For Substitute,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␛,Symbol For Escape,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␜,Symbol For File Separator,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␝,Symbol For Group Separator,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␞,Symbol For Record Separator,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␟,Symbol For Unit Separator,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␠,Symbol For Space,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␡,Symbol For Delete,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␢,Blank Symbol,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␣,Open Box,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␤,Symbol For Newline,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␥,Symbol For Delete Form Two,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
␦,Symbol For Substitute Form Two,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑀,Ocr Hook,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑁,Ocr Chair,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑂,Ocr Fork,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑃,Ocr Inverted Fork,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑄,Ocr Belt Buckle,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑅,Ocr Bow Tie,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑆,Ocr Branch Bank Identification,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑇,Ocr Amount Of Check,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑈,Ocr Dash,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑉,Ocr Customer Account Number,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
⑊,Ocr Double Backslash,Control Pictures (U+2400 to U+243F) and Optical Character Recognition (U+2440 to U+245F)
①,Circled Digit One,Enclosed Alphanumerics (U+2460 to U+24FF)
②,Circled Digit Two,Enclosed Alphanumerics (U+2460 to U+24FF)
③,Circled Digit Three,Enclosed Alphanumerics (U+2460 to U+24FF)
④,Circled Digit Four,Enclosed Alphanumerics (U+2460 to U+24FF)
⑤,Circled Digit Five,Enclosed Alphanumerics (U+2460 to U+24FF)
⑥,Circled Digit Six,Enclosed Alphanumerics (U+2460 to U+24FF)
⑦,Circled Digit Seven,Enclosed Alphanumerics (U+2460 to U+24FF)
⑧,Circled Digit Eight,Enclosed Alphanumerics (U+2460 to U+24FF)
⑨,Circled Digit Nine,Enclosed Alphanumerics (U+2460 to U+24FF)
⑩,Circled Number Ten,Enclosed Alphanumerics (U+2460 to U+24FF)
⑪,Circled Number Eleven,Enclosed Alphanumerics (U+2460 to U+24FF)
⑫,Circled Number Twelve,Enclosed Alphanumerics (U+2460 to U+24FF)
⑬,Circled Number Thirteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⑭,Circled Number Fourteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⑮,Circled Number Fifteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⑯,Circled Number Sixteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⑰,Circled Number Seventeen,Enclosed Alphanumerics (U+2460 to U+24FF)
⑱,Circled Number Eighteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⑲,Circled Number Nineteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⑳,Circled Number Twenty,Enclosed Alphanumerics (U+2460 to U+24FF)
⑴,Parenthesized Digit One,Enclosed Alphanumerics (U+2460 to U+24FF)
⑵,Parenthesized Digit Two,Enclosed Alphanumerics (U+2460 to U+24FF)
⑶,Parenthesized Digit Three,Enclosed Alphanumerics (U+2460 to U+24FF)
⑷,Parenthesized Digit Four,Enclosed Alphanumerics (U+2460 to U+24FF)
⑸,Parenthesized Digit Five,Enclosed Alphanumerics (U+2460 to U+24FF)
⑹,Parenthesized Digit Six,Enclosed Alphanumerics (U+2460 to U+24FF)
⑺,Parenthesized Digit Seven,Enclosed Alphanumerics (U+2460 to U+24FF)
⑻,Parenthesized Digit Eight,Enclosed Alphanumerics (U+2460 to U+24FF)
⑼,Parenthesized Digit Nine,Enclosed Alphanumerics (U+2460 to U+24FF)
⑽,Parenthesized Number Ten,Enclosed Alphanumerics (U+2460 to U+24FF)
⑾,Parenthesized Number Eleven,Enclosed Alphanumerics (U+2460 to U+24FF)
⑿,Parenthesized Number Twelve,Enclosed Alphanumerics (U+2460 to U+24FF)
⒀,Parenthesized Number Thirteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⒁,Parenthesized Number Fourteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⒂,Parenthesized Number Fifteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⒃,Parenthesized Number Sixteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⒄,Parenthesized Number Seventeen,Enclosed Alphanumerics (U+2460 to U+24FF)
⒅,Parenthesized Number Eighteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⒆,Parenthesized Number Nineteen,Enclosed Alphanumerics (U+2460 to U+24FF)
⒇,Parenthesized Number Twenty,Enclosed Alphanumerics (U+2460 to U+24FF)
⒈,Digit One Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒉,Digit Two Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒊,Digit Three Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒋,Digit Four Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒌,Digit Five Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒍,Digit Six Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒎,Digit Seven Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒏,Digit Eight Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒐,Digit Nine Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒑,Number Ten Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒒,Number Eleven Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒓,Number Twelve Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒔,Number Thirteen Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒕,Number Fourteen Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒖,Number Fifteen Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒗,Number Sixteen Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒘,Number Seventeen Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒙,Number Eighteen Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒚,Number Nineteen Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒛,Number Twenty Full Stop,Enclosed Alphanumerics (U+2460 to U+24FF)
⒜,Parenthesized Latin Small Letter A,Enclosed Alphanumerics (U+2460 to U+24FF)
⒝,Parenthesized Latin Small Letter B,Enclosed Alphanumerics (U+2460 to U+24FF)
⒞,Parenthesized Latin Small Letter C,Enclosed Alphanumerics (U+2460 to U+24FF)
⒟,Parenthesized Latin Small Letter D,Enclosed Alphanumerics (U+2460 to U+24FF)
⒠,Parenthesized Latin Small Letter E,Enclosed Alphanumerics (U+2460 to U+24FF)
⒡,Parenthesized Latin Small Letter F,Enclosed Alphanumerics (U+2460 to U+24FF)
⒢,Parenthesized Latin Small Letter G,Enclosed Alphanumerics (U+2460 to U+24FF)
⒣,Parenthesized Latin Small Letter H,Enclosed Alphanumerics (U+2460 to U+24FF)
⒤,Parenthesized Latin Small Letter I,Enclosed Alphanumerics (U+2460 to U+24FF)
⒥,Parenthesized Latin Small Letter J,Enclosed Alphanumerics (U+2460 to U+24FF)
⒦,Parenthesized Latin Small Letter K,Enclosed Alphanumerics (U+2460 to U+24FF)
⒧,Parenthesized Latin Small Letter L,Enclosed Alphanumerics (U+2460 to U+24FF)
⒨,Parenthesized Latin Small Letter M,Enclosed Alphanumerics (U+2460 to U+24FF)
⒩,Parenthesized Latin Small Letter N,Enclosed Alphanumerics (U+2460 to U+24FF)
⒪,Parenthesized Latin Small Letter O,Enclosed Alphanumerics (U+2460 to U+24FF)
⒫,Parenthesized Latin Small Letter P,Enclosed Alphanumerics (U+2460 to U+24FF)
⒬,Parenthesized Latin Small Letter Q,Enclosed Alphanumerics (U+2460 to U+24FF)
⒭,Parenthesized Latin Small Letter R,Enclosed Alphanumerics (U+2460 to U+24FF)
⒮,Parenthesized Latin Small Letter S,Enclosed Alphanumerics (U+2460 to U+24FF)
⒯,Parenthesized Latin Small Letter T,Enclosed Alphanumerics (U+2460 to U+24FF)
⒰,Parenthesized Latin Small Letter U,Enclosed Alphanumerics (U+2460 to U+24FF)
⒱,Parenthesized Latin Small Letter V,Enclosed Alphanumerics (U+2460 to U+24FF)
⒲,Parenthesized Latin Small Letter W,Enclosed Alphanumerics (U+2460 to U+24FF)
⒳,Parenthesized Latin Small Letter X,Enclosed Alphanumerics (U+2460 to U+24FF)
⒴,Parenthesized Latin Small Letter Y,Enclosed Alphanumerics (U+2460 to U+24FF)
⒵,Parenthesized Latin Small Letter Z,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓐ,Circled Latin Capital Letter A,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓑ,Circled Latin Capital Letter B,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓒ,Circled Latin Capital Letter C,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓓ,Circled Latin Capital Letter D,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓔ,Circled Latin Capital Letter E,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓕ,Circled Latin Capital Letter F,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓖ,Circled Latin Capital Letter G,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓗ,Circled Latin Capital Letter H,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓘ,Circled Latin Capital Letter I,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓙ,Circled Latin Capital Letter J,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓚ,Circled Latin Capital Letter K,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓛ,Circled Latin Capital Letter L,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓜ,Circled Latin Capital Letter M,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓝ,Circled Latin Capital Letter N,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓞ,Circled Latin Capital Letter O,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓟ,Circled Latin Capital Letter P,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓠ,Circled Latin Capital Letter Q,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓡ,Circled Latin Capital Letter R,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓢ,Circled Latin Capital Letter S,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓣ,Circled Latin Capital Letter T,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓤ,Circled Latin Capital Letter U,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓥ,Circled Latin Capital Letter V,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓦ,Circled Latin Capital Letter W,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓧ,Circled Latin Capital Letter X,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓨ,Circled Latin Capital Letter Y,Enclosed Alphanumerics (U+2460 to U+24FF)
Ⓩ,Circled Latin Capital Letter Z,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓐ,Circled Latin Small Letter A,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓑ,Circled Latin Small Letter B,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓒ,Circled Latin Small Letter C,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓓ,Circled Latin Small Letter D,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓔ,Circled Latin Small Letter E,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓕ,Circled Latin Small Letter F,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓖ,Circled Latin Small Letter G,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓗ,Circled Latin Small Letter H,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓘ,Circled Latin Small Letter I,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓙ,Circled Latin Small Letter J,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓚ,Circled Latin Small Letter K,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓛ,Circled Latin Small Letter L,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓜ,Circled Latin Small Letter M,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓝ,Circled Latin Small Letter N,Enclosed Alphanumerics (U+2460 to U+24FF)
ⓞ,Circled Latin Small Letter O,Enclosed Alphanumerics (U+2460 to U+24FF)
